Date,Arsenal,Aston Villa,Brentford,Brighton,Burnley,Chelsea,Crystal Palace,Everton,Leeds United,Leicester City,Liverpool,Manchester City,Manchester Utd,Newcastle Utd,Norwich City,Southampton,Tottenham,Watford,West Ham,Wolves
2022-05-22,69,45,46,51,35,74,48,39,38,52,92,93,58,49,22,40,71,23,56,51
2022-05-21,66,45,46,48,35,71,45,39,35,49,89,90,58,46,22,40,68,23,56,51
2022-05-20,66,45,46,48,35,71,45,39,35,49,89,90,58,46,22,40,68,23,56,51
2022-05-19,66,45,46,48,35,71,45,39,35,49,89,90,58,46,22,40,68,23,56,51
2022-05-18,66,44,46,48,34,70,45,36,35,48,89,90,58,46,22,40,68,23,56,51
2022-05-17,66,44,46,48,34,70,45,36,35,48,89,90,58,46,22,40,68,23,56,51
2022-05-16,66,44,46,48,34,70,45,36,35,48,86,90,58,46,22,40,68,23,56,51
2022-05-15,66,44,46,48,34,70,45,36,35,48,86,90,58,43,22,40,68,23,56,51
2022-05-14,66,43,43,47,34,70,44,36,34,45,86,89,58,43,21,40,65,23,55,50
2022-05-13,66,43,43,47,34,70,44,36,34,45,86,89,58,43,21,40,65,23,55,50
2022-05-12,66,43,43,47,34,70,44,36,34,45,86,89,58,43,21,40,65,23,55,50
2022-05-11,66,43,43,47,34,70,44,36,34,45,86,89,58,43,21,40,62,23,55,50
2022-05-10,66,43,43,47,34,67,44,35,34,42,86,86,58,43,21,40,62,22,55,50
2022-05-09,66,43,43,47,34,67,44,35,34,42,83,86,58,43,21,40,62,22,55,50
2022-05-08,66,43,43,47,34,67,44,35,34,42,83,86,58,43,21,40,62,22,55,50
2022-05-07,63,43,43,47,34,67,44,32,34,42,83,83,58,43,21,40,62,22,52,50
2022-05-06,63,40,40,44,34,66,41,32,34,42,82,83,58,43,21,40,61,22,52,49
2022-05-05,63,40,40,44,34,66,41,32,34,42,82,83,58,43,21,40,61,22,52,49
2022-05-04,63,40,40,44,34,66,41,32,34,42,82,83,58,43,21,40,61,22,52,49
2022-05-03,63,40,40,44,34,66,41,32,34,42,82,83,58,43,21,40,61,22,52,49
2022-05-02,63,40,40,44,34,66,41,32,34,42,82,83,58,43,21,40,61,22,52,49
2022-05-01,63,40,40,44,34,66,41,32,34,42,82,83,55,43,21,40,61,22,52,49
2022-04-30,60,40,40,44,34,66,41,29,34,42,82,83,55,43,21,40,58,22,52,49
2022-04-29,60,37,40,41,31,66,38,29,34,42,79,80,55,43,21,40,58,22,52,49
2022-04-28,60,37,40,41,31,66,38,29,34,42,79,80,55,43,21,40,58,22,52,49
2022-04-27,60,37,40,41,31,65,38,29,34,42,79,80,54,43,21,40,58,22,52,49
2022-04-26,60,37,40,41,31,65,38,29,34,42,79,80,54,43,21,40,58,22,52,49
2022-04-25,60,37,40,41,31,65,38,29,34,42,79,80,54,43,21,40,58,22,52,49
2022-04-24,60,37,40,41,31,65,37,29,33,42,79,80,54,43,21,40,58,22,52,49
2022-04-23,60,37,40,40,28,62,37,29,33,42,76,80,54,43,21,39,58,22,52,49
2022-04-22,57,36,39,40,28,62,37,29,33,41,76,77,54,40,21,39,57,22,52,49
2022-04-21,57,36,39,40,28,62,37,29,33,41,76,77,54,40,21,39,57,22,52,49
2022-04-20,57,36,39,40,25,62,37,29,33,41,76,77,54,40,21,39,57,22,52,49
2022-04-19,54,36,39,40,25,62,37,28,33,40,76,74,54,37,21,39,57,22,52,49
2022-04-18,54,36,39,40,25,62,37,28,33,40,73,74,54,37,21,39,57,22,52,49
2022-04-17,54,36,39,40,25,62,37,28,33,40,73,74,54,37,21,39,57,22,52,49
2022-04-16,54,36,39,40,24,62,37,28,33,40,73,74,54,34,21,39,57,22,51,49
2022-04-15,54,36,36,37,24,62,37,28,33,40,73,74,51,34,21,36,57,22,51,49
2022-04-14,54,36,36,37,24,62,37,28,33,40,73,74,51,34,21,36,57,22,51,49
2022-04-13,54,36,36,37,24,62,37,28,33,40,73,74,51,34,21,36,57,22,51,49
2022-04-12,54,36,36,37,24,62,37,28,33,40,73,74,51,34,21,36,57,22,51,49
2022-04-11,54,36,36,37,24,62,37,28,33,40,73,74,51,34,21,36,57,22,51,49
2022-04-10,54,36,36,37,24,62,37,28,33,40,73,74,51,34,21,36,57,22,51,49
2022-04-09,54,36,33,37,24,62,37,28,33,37,72,73,51,34,18,36,57,22,51,49
2022-04-08,54,36,33,34,24,59,37,25,30,37,72,73,51,34,18,36,54,22,51,49
2022-04-07,54,36,33,34,24,59,37,25,30,37,72,73,51,31,18,36,54,22,51,49
2022-04-06,54,36,33,34,24,59,37,25,30,37,72,73,51,31,18,36,54,22,51,49
2022-04-05,54,36,33,34,21,59,37,25,30,37,72,73,51,31,18,36,54,22,51,49
2022-04-04,54,36,33,34,21,59,37,25,30,37,72,73,51,31,18,36,54,22,51,49
2022-04-03,54,36,33,34,21,59,34,25,30,37,72,73,51,31,18,36,54,22,51,49
2022-04-02,54,36,33,34,21,59,34,25,30,37,72,73,51,31,18,36,51,22,48,49
2022-04-01,54,36,30,33,21,59,34,25,29,36,69,70,50,31,17,35,51,22,48,46
2022-03-31,54,36,30,33,21,59,34,25,29,36,69,70,50,31,17,35,51,22,48,46
2022-03-30,54,36,30,33,21,59,34,25,29,36,69,70,50,31,17,35,51,22,48,46
2022-03-29,54,36,30,33,21,59,34,25,29,36,69,70,50,31,17,35,51,22,48,46
2022-03-28,54,36,30,33,21,59,34,25,29,36,69,70,50,31,17,35,51,22,48,46
2022-03-27,54,36,30,33,21,59,34,25,29,36,69,70,50,31,17,35,51,22,48,46
2022-03-26,54,36,30,33,21,59,34,25,29,36,69,70,50,31,17,35,51,22,48,46
2022-03-25,54,36,30,33,21,59,34,25,29,36,69,70,50,31,17,35,51,22,48,46
2022-03-24,54,36,30,33,21,59,34,25,29,36,69,70,50,31,17,35,51,22,48,46
2022-03-23,54,36,30,33,21,59,34,25,29,36,69,70,50,31,17,35,51,22,48,46
2022-03-22,54,36,30,33,21,59,34,25,29,36,69,70,50,31,17,35,51,22,48,46
2022-03-21,54,36,30,33,21,59,34,25,29,36,69,70,50,31,17,35,51,22,48,46
2022-03-20,54,36,30,33,21,59,34,25,29,36,69,70,50,31,17,35,51,22,48,46
2022-03-19,54,36,30,33,21,59,34,25,29,33,69,70,50,31,17,35,48,22,48,46
2022-03-18,51,36,30,33,21,59,34,25,29,33,69,70,50,31,17,35,48,22,48,46
2022-03-17,51,36,30,33,21,59,34,25,26,33,69,70,50,31,17,35,48,22,48,46
2022-03-16,51,36,30,33,21,59,34,22,26,33,69,70,50,31,17,35,48,22,48,46
2022-03-15,51,36,30,33,21,59,34,22,26,33,66,70,50,31,17,35,45,22,48,46
2022-03-14,51,36,30,33,21,59,34,22,26,33,66,70,50,31,17,35,45,22,48,46
2022-03-13,51,36,30,33,21,59,33,22,26,33,66,69,50,31,17,35,45,22,48,46
2022-03-12,48,36,30,33,21,56,33,22,23,33,66,69,50,31,17,35,45,19,45,43
2022-03-11,48,36,27,33,21,56,33,22,23,33,63,69,47,31,17,35,45,19,45,43
2022-03-10,48,36,27,33,21,56,33,22,23,33,63,69,47,31,17,35,45,19,45,43
2022-03-09,48,33,27,33,21,53,33,22,23,33,63,69,47,28,17,35,45,19,45,40
2022-03-08,48,33,27,33,21,53,33,22,23,33,63,69,47,28,17,35,45,19,45,40
2022-03-07,48,33,27,33,21,53,33,22,23,33,63,69,47,28,17,35,45,19,45,40
2022-03-06,48,33,27,33,21,53,33,22,23,33,63,69,47,28,17,35,42,19,45,40
2022-03-05,45,33,27,33,21,53,33,22,23,33,63,66,47,28,17,35,42,19,45,40
2022-03-04,45,30,24,33,21,50,30,22,23,30,60,66,47,25,17,35,42,19,45,40
2022-03-03,45,30,24,33,21,50,30,22,23,30,60,66,47,25,17,35,42,19,45,40
2022-03-02,45,30,24,33,21,50,30,22,23,30,60,66,47,25,17,35,42,19,45,40
2022-03-01,45,30,24,33,21,50,30,22,23,30,60,66,47,25,17,35,42,19,45,40
2022-02-28,45,30,24,33,21,50,30,22,23,27,60,66,47,25,17,35,42,19,45,40
2022-02-27,45,30,24,33,21,50,30,22,23,27,60,66,47,25,17,35,42,19,45,40
2022-02-26,45,30,24,33,21,50,30,22,23,27,60,66,47,25,17,35,42,19,42,40
2022-02-25,45,27,24,33,20,50,29,22,23,27,60,63,46,22,17,35,39,18,42,40
2022-02-24,45,27,24,33,20,50,29,22,23,27,60,63,46,22,17,32,39,18,42,40
2022-02-23,42,27,24,33,20,50,29,22,23,27,60,63,46,22,17,32,39,18,42,40
2022-02-22,42,27,24,33,17,50,26,22,23,27,57,63,46,22,17,32,39,18,42,40
2022-02-21,42,27,24,33,17,50,26,22,23,27,57,63,46,22,17,32,39,18,42,40
2022-02-20,42,27,24,33,17,50,26,22,23,27,57,63,46,22,17,32,39,18,42,40
2022-02-19,42,27,24,33,17,50,26,22,23,27,57,63,43,22,17,32,39,18,42,37
2022-02-18,39,27,24,33,14,47,26,22,23,27,54,63,43,21,17,29,36,15,41,37
2022-02-17,39,27,24,33,14,47,26,22,23,27,54,63,43,21,17,29,36,15,41,37
2022-02-16,39,27,24,33,14,47,26,22,23,27,54,63,43,21,17,29,36,15,41,37
2022-02-15,39,27,24,33,14,47,26,22,23,27,54,63,43,21,17,29,36,15,41,37
2022-02-14,39,27,24,33,14,47,26,22,23,27,54,63,40,21,17,29,36,15,41,37
2022-02-13,39,27,24,33,14,47,26,22,23,27,54,63,40,21,17,29,36,15,41,37
2022-02-12,39,27,24,33,14,47,26,22,23,26,51,63,40,18,17,29,36,15,40,34
2022-02-11,39,27,23,30,14,47,25,19,23,26,51,60,39,18,17,28,36,15,40,34
2022-02-10,39,27,23,30,14,47,25,19,23,26,51,60,39,18,17,28,36,15,40,34
2022-02-09,36,27,23,30,14,47,25,19,23,26,48,60,39,18,17,28,36,15,40,34
2022-02-08,36,26,23,30,14,47,24,19,22,26,48,57,39,18,16,25,36,15,40,34
2022-02-07,36,26,23,30,13,47,24,19,22,26,48,57,38,15,16,25,36,15,37,34
2022-02-06,36,26,23,30,13,47,24,19,22,26,48,57,38,15,16,25,36,15,37,34
2022-02-05,36,26,23,30,13,47,24,19,22,26,48,57,38,15,16,25,36,15,37,34
2022-02-04,36,26,23,30,12,47,24,19,22,26,48,57,38,15,16,25,36,14,37,34
2022-02-03,36,26,23,30,12,47,24,19,22,26,48,57,38,15,16,25,36,14,37,34
2022-02-02,36,26,23,30,12,47,24,19,22,26,48,57,38,15,16,25,36,14,37,34
2022-02-01,36,26,23,30,12,47,24,19,22,26,48,57,38,15,16,25,36,14,37,34
2022-01-31,36,26,23,30,12,47,24,19,22,26,48,57,38,15,16,25,36,14,37,34
2022-01-30,36,26,23,30,12,47,24,19,22,26,48,57,38,15,16,25,36,14,37,34
2022-01-29,36,26,23,30,12,47,24,19,22,26,48,57,38,15,16,25,36,14,37,34
2022-01-28,36,26,23,30,12,47,24,19,22,26,48,57,38,15,16,25,36,14,37,34
2022-01-27,36,26,23,30,12,47,24,19,22,26,48,57,38,15,16,25,36,14,37,34
2022-01-26,36,26,23,30,12,47,24,19,22,26,48,57,38,15,16,25,36,14,37,34
2022-01-25,36,26,23,30,12,47,24,19,22,26,48,57,38,15,16,25,36,14,37,34
2022-01-24,36,26,23,30,12,47,24,19,22,26,48,57,38,15,16,25,36,14,37,34
2022-01-23,36,26,23,30,12,47,24,19,22,26,48,57,38,15,16,25,36,14,37,34
2022-01-22,35,26,23,29,11,44,24,19,22,25,45,57,38,15,16,25,36,14,37,34
2022-01-21,35,23,23,29,11,44,24,19,22,25,45,56,35,12,16,24,36,14,37,31
2022-01-20,35,23,23,29,11,44,24,19,22,25,45,56,35,12,13,24,36,14,37,31
2022-01-19,35,23,23,29,11,44,24,19,22,25,45,56,35,12,13,24,36,14,37,31
2022-01-18,35,23,23,29,11,44,24,19,22,25,45,56,32,12,13,24,33,14,37,31
2022-01-17,35,23,23,28,11,43,24,19,22,25,45,56,32,12,13,24,33,14,37,31
2022-01-16,35,23,23,28,11,43,24,19,22,25,45,56,32,12,13,24,33,14,37,31
2022-01-15,35,23,23,28,11,43,24,19,19,25,42,56,32,12,13,24,33,14,37,31
2022-01-14,35,22,23,28,11,43,24,19,19,25,42,53,31,11,10,24,33,13,37,28
2022-01-13,35,22,23,27,11,43,23,19,19,25,42,53,31,11,10,24,33,13,37,28
2022-01-12,35,22,23,27,11,43,23,19,19,25,42,53,31,11,10,24,33,13,37,28
2022-01-11,35,22,23,27,11,43,23,19,19,25,42,53,31,11,10,24,33,13,34,28
2022-01-10,35,22,23,27,11,43,23,19,19,25,42,53,31,11,10,21,33,13,34,28
2022-01-09,35,22,23,27,11,43,23,19,19,25,42,53,31,11,10,21,33,13,34,28
2022-01-08,35,22,23,27,11,43,23,19,19,25,42,53,31,11,10,21,33,13,34,28
2022-01-07,35,22,23,27,11,43,23,19,19,25,42,53,31,11,10,21,33,13,34,28
2022-01-06,35,22,23,27,11,43,23,19,19,25,42,53,31,11,10,21,33,13,34,28
2022-01-05,35,22,23,27,11,43,23,19,19,25,42,53,31,11,10,21,33,13,34,28
2022-01-04,35,22,23,27,11,43,23,19,19,25,42,53,31,11,10,21,33,13,34,28
2022-01-03,35,22,23,27,11,43,23,19,19,25,42,53,31,11,10,21,33,13,34,28
2022-01-02,35,22,23,27,11,43,23,19,19,25,42,53,31,11,10,21,33,13,34,25
2022-01-01,35,22,20,24,11,42,23,19,16,25,41,53,31,11,10,21,33,13,34,25
2021-12-31,35,22,20,24,11,42,23,19,16,25,41,50,31,11,10,21,30,13,31,25
2021-12-30,35,22,20,24,11,42,23,19,16,25,41,50,31,11,10,21,30,13,31,25
2021-12-29,35,22,20,24,11,42,23,19,16,25,41,50,28,11,10,21,30,13,31,25
2021-12-28,35,22,20,23,11,41,23,19,16,25,41,47,28,11,10,21,30,13,31,25
2021-12-27,35,22,20,23,11,41,20,19,16,22,41,47,28,11,10,20,29,13,28,25
2021-12-26,35,22,20,23,11,41,20,19,16,22,41,47,27,10,10,20,29,13,28,25
2021-12-25,32,22,20,20,11,38,20,19,16,22,41,44,27,10,10,17,26,13,28,25
2021-12-24,32,22,20,20,11,38,20,19,16,22,41,44,27,10,10,17,26,13,28,25
2021-12-23,32,22,20,20,11,38,20,19,16,22,41,44,27,10,10,17,26,13,28,25
2021-12-22,32,22,20,20,11,38,20,19,16,22,41,44,27,10,10,17,26,13,28,25
2021-12-21,32,22,20,20,11,38,20,19,16,22,41,44,27,10,10,17,26,13,28,25
2021-12-20,32,22,20,20,11,38,20,19,16,22,41,44,27,10,10,17,26,13,28,25
2021-12-19,32,22,20,20,11,38,20,19,16,22,41,44,27,10,10,17,26,13,28,25
2021-12-18,32,22,20,20,11,37,20,19,16,22,40,41,27,10,10,17,25,13,28,24
2021-12-17,29,22,20,20,11,37,20,19,16,22,40,41,27,10,10,17,25,13,28,24
2021-12-16,29,22,20,20,11,37,20,19,16,22,40,41,27,10,10,17,25,13,28,24
2021-12-15,29,22,20,20,11,36,20,18,16,22,37,41,27,10,10,17,25,13,28,24
2021-12-14,26,22,20,20,11,36,19,18,16,22,37,41,27,10,10,16,25,13,28,21
2021-12-13,26,19,20,20,11,36,19,18,16,22,37,38,27,10,10,16,25,13,28,21
2021-12-12,26,19,20,20,11,36,19,18,16,22,37,38,27,10,10,16,25,13,28,21
2021-12-11,26,19,20,20,10,36,16,18,16,19,37,38,27,10,10,16,25,13,27,21
2021-12-10,23,19,20,20,10,33,16,18,16,19,34,35,24,10,10,16,25,13,27,21
2021-12-09,23,19,17,20,10,33,16,18,16,19,34,35,24,10,10,16,25,13,27,21
2021-12-08,23,19,17,20,10,33,16,18,16,19,34,35,24,10,10,16,25,13,27,21
2021-12-07,23,19,17,20,10,33,16,18,16,19,34,35,24,10,10,16,25,13,27,21
